Name,symbol,AssetType,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Valuation
Similarweb Ltd,SMWB,Common Stock,"Similarweb Ltd. provides website traffic solutions through AI-driven data analytics globally. The company is headquartered in Tel Aviv, Israel.",1842731,NYSE,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","121 MENACHEM BEGIN RD., 41ST FLOOR, TEL AVIV-YAFO, IL",December,2021-12-31,1005174000,None,None,None,1.135,0,0,-1.297,2.588,-0.501,-0.48,-0.25,-1.823,137668000.0,105916000.0,-1.297,0.0,0.507,25.2,-,-,7.3,12.3,8.36,-,None,25.5,11.5,13.44,18.16,74845000.0,None,None,1005916800.0
Anterix Inc,ATEX,Common Stock,"Anterix Inc. is a wireless communications company. The company is headquartered in Woodland Park, New Jersey.",1304492,NASDAQ,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"3 GARRET MOUNTAIN PLAZA, SUITE 401, WOODLAND PARK, NJ, US",March,2021-12-31,1073829000,-30906000,None,None,10.65,0,0,-2.085,0.052,0.0,-50.74,-0.112,-0.18,930000.0,515000.0,-2.085,0.0,0.631,75.8,-,-,1154.65,5.51,1028.65,-,0.464,66.55,44.79,54.77,58.2,18374900.0,None,None,1006393273.0
Hut 8 Mining Corp. Common Shares,HUT,Common Stock,None,1731805,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"130 KING STREET WEST, SUITE 1800, SUITE 1800, TORONTO, ON, CA",December,2021-12-31,954591000,74646000,None,None,3.337,0,0,-0.434,1.295,-0.418,0.297,0.0744,-0.213,173774000.0,88798000.0,-0.434,0.0,3.459,None,-,8.67,5.49,2.103,5.04,10.43,2.529,16.57,3.15,5.94,7.82,171453000.0,2018-03-06,None,1018430820.0000001
Bain Capital Specialty Finance Inc,BCSF,Common Stock,None,1655050,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1017502000,None,8.49,1.07,17.04,1.36,0.0872,1.856,3.055,0.607,0.706,0.0336,0.111,197260000.0,197394000.0,1.856,-0.436,0.07,16,8.49,11.47,5.16,0.928,20.99,21.91,1.46,15.94,13.66,15.81,15.47,64562000.0,2022-04-29,2022-03-30,1020725220.0
PubMatic Inc,PUBM,Common Stock,"PubMatic, Inc. provides a cloud infrastructure platform that enables real-time programmatic ad transactions for Internet content creators and advertisers around the world. The company is headquartered in Redwood City, California.",1422930,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","3 LAGOON DRIVE, SUITE 180, REDWOOD CITY, CA, US",December,2021-12-31,1373621000,74462000,26.48,2.145,4.96,0,0,1,4.521,0.249,0.259,0.0798,0.262,226908000.0,168595000.0,1.0,1.149,0.343,42.6,26.48,42.73,6.05,5.61,5.75,15.93,None,62.25,18.3,25.13,29.82,40775000.0,None,None,1024675750.0
PDF Solutions Inc,PDFS,Common Stock,"PDF Solutions, Inc. provides proprietary software and physical intellectual property products for integrated circuit designs, electrical measurement equipment, proven methodologies, and professional services in the United States, China, Taiwan, and internationally. The company is headquartered in Santa Clara, California.",1120914,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2858 DE LA CRUZ BOULEVARD, SANTA CLARA, CA, US",December,2021-12-31,1024879000,-4589000,None,2.37,5.87,0,0,-0.58,2.99,-0.194,-0.142,-0.0352,-0.0946,111060000.0,66867000.0,-0.58,0.0,0.336,37.25,-,100,9.23,4.968,8.62,-,1.397,33.78,16.7,27.72,25.09,37707100.0,None,None,1045240812.0
Cars.com Inc,CARS,Common Stock,"Cars.com, LLC, is a digital marketplace and provides solutions for the automotive industry. The company is headquartered in Chicago, Illinois.",1683606,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"300 S. RIVERSIDE PLAZA, SUITE 1000, CHICAGO, IL, US",December,2021-12-31,1010580000,151470000,132.82,1.22,5.3,0,0,0.11,9.07,0.0124,0.0794,0.0297,0.0218,623683000.0,432167000.0,0.11,0.0,0.035,19.57,132.82,8.22,1.62,2.837,2.354,9.78,2.034,19.09,11.53,15.16,14.11,69170000.0,None,None,1048617200.0
Dril-Quip Inc,DRQ,Common Stock,"Dril-Quip, Inc. designs, manufactures, sells and services drilling and production equipment designed for use in deep water, harsh environments and severe service applications worldwide. The company is headquartered in Houston, Texas.",1042893,NYSE,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"6401 N. ELDRIDGE PARKWAY, HOUSTON, TX, US",December,2021-12-31,1307502000,8500000,None,-17.65,25.8,0,0,-3.623,9.14,-0.396,-0.153,-0.0287,-0.132,322945000.0,80589000.0,-3.623,0.0,-0.107,30.4,-,243.9,4.049,1.373,2.729,112.97,1.055,41.23,18.17,30.21,26.26,34792500.0,None,None,1051081425.0
A10 Networks Inc,ATEN,Common Stock,"A10 Networks, Inc. offers network solutions in the United States, Japan, other Asia Pacific countries, and EMEA. The company is headquartered in San Jose, California.",1580808,NYSE,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"3 WEST PLUMERIA DRIVE, SAN JOSE, CA, US",December,2021-12-31,1080981000,42295000,11.89,-10.86,2.698,0.05,0.0143,1.19,3.245,0.38,0.134,0.061,0.584,250042000.0,196537000.0,1.19,0.366,0.128,19.67,11.89,21.51,4.323,5.4,3.863,22.84,1.052,18.92,8.36,13.82,13.93,76394000.0,2022-03-01,2022-02-14,1055765080.0
PAR Technology Corporation,PAR,Common Stock,"PAR Technology Corporation provides point of sale (POS) solutions to the restaurant and retail industries globally. The company is headquartered in New Hartford, New York.",708821,NYSE,USD,USA,TECHNOLOGY,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),"PAR TECHNOLOGY PARK, 8383 SENECA TURNPIKE, NEW HARTFORD, NY, US",December,2021-12-31,1127647000,-9421000,None,0,18.76,0,0,-3.021,11.28,-0.268,-0.175,-0.0503,-0.219,282876000.0,62121000.0,-3.021,0.0,0.394,60.6,-,-,3.986,2.308,4.549,-,1.946,86.27,33.21,39.49,55.86,26951400.0,None,None,1064310786.0
The Liberty Braves Group,BATRK,Common Stock,"Liberty Braves Group, through its subsidiary, Braves Holdings, LLC, owns the Atlanta Braves Major League Baseball Club (ANLBC), assets and liabilities associated with the ANLBC stadium and mixed-use development project. ",1560385,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"12300 LIBERTY BOULEVARD, ENGLEWOOD, CO, US",December,2021-12-31,1481957000,92000000,None,0,5.61,0,0,-0.212,10.92,-0.0194,0.0352,0.0078,-0.0375,568000000.0,568000000.0,-0.212,-0.795,1.914,33,-,-,2.609,5.01,3.601,21.99,0.897,31.27,24.17,25.93,26.94,41494500.0,None,None,1075952385.0
21Vianet Group Inc,VNET,Common Stock,"21Vianet Group, Inc., an investment holding company, provides hosting and related services to Internet companies, government entities, blue-chip companies, and small and medium-sized enterprises in the People's Republic of China. The company is headquartered in Beijing, the People's Republic of China.",1508475,NASDAQ,USD,China,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","M5, 1JIUXIANQIAO EAST ROAD, CHAOYANG DISTRICT, BEIJING, CHINA",December,2021-12-31,917433000,1482235000,None,-5.38,49.15,0,0,-1.22,40.89,-0.0842,0.0519,0.0088,-0.06,5792728000.0,1076011000.0,-1.22,0.0,0.253,19.42,-,2000,0.158,0.78,0.361,0.985,0.234,34.88,3.51,7.31,13.76,148452000.0,None,None,1085184120.0
NOW Inc,DNOW,Common Stock,"NOW Inc. distributes downstream power and industrial products for oil refining, chemical processing, LNG terminals, power generation services, and industrial manufacturing operations in the United States, Canada, and internationally. The company is headquartered in Houston, Texas.",1599617,NYSE,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"7402 NORTH ELDRIDGE PARKWAY, HOUSTON, TX, US",December,2021-12-31,1253739000,39000000,252,0,6.44,0,0,0.045,14.78,0.0031,0.0098,0.0095,0.0071,1632000000.0,357000000.0,0.045,-0.5,0.354,12.7,252,35.97,0.768,1.71,0.574,24.01,1.82,11.87,6.83,9.86,8.89,110559000.0,None,None,1090111740.0
Energy Recovery Inc,ERII,Common Stock,"Energy Recovery, Inc. designs, manufactures and sells various solutions for the industrial fluid flow markets worldwide. The company is headquartered in San Leandro, California.",1421517,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","1717 DOOLITTLE DRIVE, SAN LEANDRO, CA, US",December,2021-12-31,1162909000,19770000,85.29,1.09,3.146,0,0,0.24,1.823,0.137,0.133,0.0414,0.0814,103904000.0,71234000.0,0.24,0.485,0.271,27.5,85.29,-,11.19,6.56,10.43,54.82,1.272,24.99,16.4,19.34,20.29,56810000.0,None,None,1098705400.0
Sigma Lithium Corporation Common Shares,SGML,Common Stock,"Sigma Lithium Corporation is engaged in the exploration and development of lithium deposits in Brazil. The company is headquartered in Vancouver, Canada.",1848309,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,1537507000,None,None,None,0.683,0,0,-0.184,0.0,0.0,0.0,-0.227,-0.465,0.0,0.0,-0.184,0.0,0.0,15.33,-,526.32,-,28.51,-,-,0.111,16.59,3.84,11.12,8.88,99002000.0,None,None,1100902240.0
Shenandoah Telecommunications Company,SHEN,Common Stock,"Shenandoah Telecommunications Company, provides a range of broadband communication services and cell tower placement space in the mid-Atlantic part of the United States. The company is headquartered in Edinburg, Virginia.",354963,NASDAQ,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"PO BOX 459, 124 SOUTH MAIN ST, EDINBURG, VA, US",December,2021-12-31,1205173000,60910000,1.206,14.44,12.85,0.07,0.0029,19.97,4.902,4.073,0.0215,0.0023,0.013,245239000.0,142940000.0,19.97,-0.983,0.077,23.33,1.206,588.24,4.914,1.834,4.686,19.0,0.226,38.62,18.77,22.02,30.48,50049000.0,2021-12-01,2021-11-05,1102078980.0
Tremor International Ltd. American Depository Shares,TRMR,Common Stock,"Telaria, Inc. provides online video advertising services to buyers and sellers of video ads in the United States. The company is headquartered in New York, New York.",1849396,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","82 YIGAL ALON STREET, 2ND FLOOR, TEL AVIV, IL",December,2021-12-31,1104328000,102136000,15.01,None,7.41,0,0,0.96,4.732,0.214,0.216,0.0689,0.163,341945000.0,270294000.0,0.96,0.023,0.258,28,15.01,15.27,3.229,2.213,2.551,7.57,1.412,23.76,12.25,14.48,17.49,76636000.0,None,None,1109689280.0
Enerpac Tool Group Corp,EPAC,Common Stock,"Enerpac Tool Group Corp. The company is headquartered in Menomonee Falls, Wisconsin.",6955,NYSE,USD,USA,TECHNOLOGY,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,"ATTN:  BRYAN JOHNSON, N86 W12500 WESTBROOK CROSSING, MENOMONEE FALLS, WI, US",August,2022-02-28,1297612000,85711000,37.66,0.344,6.82,0.04,0.0019,0.569,9.23,0.0617,0.117,0.0498,0.0934,556078000.0,243156000.0,0.569,-0.714,0.132,20.5,37.66,25.45,2.333,3.17,2.429,20.32,1.413,28.79,16.25,18.68,21.96,60551000.0,2021-10-18,2021-09-30,1131092680.0
Preferred Bank,PFBC,Common Stock,"Preferred Bank offers a variety of commercial banking products and services to small and medium-sized businesses and their real estate owners, entrepreneurs, developers and investors, professionals, and high-net-worth individuals in the United States. The company is headquartered in Los Angeles, California.",1492165,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1079541000,None,11.39,1.83,39.77,1.57,0.0236,6.41,13.09,0.489,0.688,0.017,0.172,194620000.0,194620000.0,6.41,0.287,0.39,92,11.39,10.5,5.55,1.881,-,-,1.285,81.97,56.62,77.14,69.0,14679800.0,2022-04-21,2022-04-06,1132399772.0
Sprinklr Inc.,CXM,Common Stock,"Sprinklr, Inc. develops and provides a unified cloud-based customer experience management platform for companies around the world. The company is headquartered in New York, New York.",1569345,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"29 WEST 35TH STREET, 8TH FLOOR, NEW YORK, NY, US",December,2021-09-30,3066024000,None,None,None,2.03,0,0,-0.592,2.975,-0.198,-0.167,0.0,0.0,460840000.0,264848000.0,-0.592,0.0,0.319,17.67,-,-,6.65,6.04,7.29,-,None,26.5,9.62,11.54,15.86,98285000.0,None,None,1134208900.0
Dingdong (Cayman) Limited,DDL,Common Stock,"Dingdong (Cayman) Limited operates an e-commerce company in China. The company is headquartered in Shanghai, China.",1854545,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,861586000,None,None,None,8.63,0,0,-12.64,205.89,-0.369,-0.366,0.0,0.0,17825079000.0,2230493000.0,-12.64,0.0,0.72,17.99,-,-,0.0483,5.78,0.0476,-,None,46.0,2.51,4.827,17.28,236051000.0,None,None,1139418177.0
Grid Dynamics Holdings Inc,GDYN,Common Stock,"Grid Dynamics Holdings, Inc., provides enterprise-grade digital transformation services for Fortune 1000 corporations in the United States and Central and Eastern European countries. The company is headquartered in San Ramon, California.",1743725,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"7660 FAY AVENUE, SUITE H, UNIT 339, LA JOLLA, CA, US",December,2021-12-31,936022000,5099000,None,None,3.396,0,0,-0.131,3.602,-0.0364,0.0002,0.0001,-0.0407,211280000.0,87728000.0,-0.131,0.941,1.209,20.3,-,131.58,4.43,4.205,3.836,158.93,1.374,42.81,9.09,17.13,26.08,66954000.0,None,None,1146922020.0
Consensus Cloud Solutions Inc.,CCSI,Common Stock,"Consensus Cloud Solutions, Inc. provides information delivery services with a worldwide software-as-a-service platform. The company is headquartered in Los Angeles, California.",1866633,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"700 S. FLOWER STREET, 15TH FLOOR, LOS ANGELES, CA, UNITED STATES",December,2021-12-31,1198916000,304973000,9.82,None,62.14,0,0,6.11,35.18,0.174,0.335,0.0,0.0,700262000.0,524211000.0,6.11,-0.817,0.04,75.4,9.82,11.32,1.712,0.881,3.171,10.09,None,69.31,34.81,57.79,59.17,19978600.0,None,None,1154563294.0
Materialise NV,MTLS,Common Stock,"Materialize NV offers additive manufacturing and medical software and 3D printing services in the Americas, Europe, Africa, and Asia-Pacific. The company is headquartered in Leuven, Belgium.",1091223,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"TECHNOLOGIELAAN 15 3001 LEVUEN, BELGIUM, BELGIUM, BE",December,2021-12-31,1171886000,32732000,78.5,-4.24,3.949,0,0,0.254,3.624,0.064,0.0595,0.0206,0.0719,205450000.0,117281000.0,0.254,-0.561,0.258,26.41,78.5,-,5.7,4.906,5.58,29.89,0.652,38.22,17.06,19.78,21.86,58771000.0,None,None,1162490380.0
Astec Industries Inc,ASTE,Common Stock,"Astec Industries, Inc. designs, designs, manufactures, and markets equipment and components used primarily in highway construction and related construction activities in the United States and internationally. The company is headquartered in Chattanooga, Tennessee.",792987,NASDAQ,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"1725 SHEPHERD ROAD, CHATTANOOGA, TN, US",December,2021-12-31,970127000,50100000,54.63,2.6,28.74,0.45,0.0113,0.78,48.28,0.0162,0.0181,0.0141,0.0276,1097200000.0,251700000.0,0.78,4.837,0.121,65.33,54.63,-,0.884,1.543,0.793,18.19,1.362,79.38,41.44,51.52,59.15,22767600.0,2022-03-31,2022-03-09,1172986752.0
Barings BDC Inc,BBDC,Common Stock,None,1379785,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1166560000,55766000,8.81,None,11.36,0.82,0.089,1.189,2.072,0.574,0.68,0.03,0.106,135335000.0,135335000.0,1.189,-0.618,0.841,12.32,8.81,10.85,8.62,1.562,-,-,0.631,11.09,9.37,10.65,10.83,111313000.0,2022-02-23,2022-02-15,1185483450.0
Skillz Inc,SKLZ,Common Stock,"Skillz Inc. operates a mobile gaming platform that connects gamers globally. The company is headquartered in San Francisco, California.",1801661,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"2121 AVENUE OF THE STARS, SUITE 2300, LOS ANGELES, CA, US",December,2021-12-31,1216854000,None,None,None,1.525,0,0,-0.693,0.999,-0.472,-0.697,-0.256,-0.533,384089000.0,359378000.0,-0.693,30.54,0.607,4.64,-,-,3.168,2.266,2.994,-,None,24.88,2.07,3.506,9.41,341114000.0,None,None,1195945684.0
UserTesting Inc.,USER,Common Stock,"UserTesting, Inc. participates in the operation of a software-as-a-service (SaaS) platform that enables organizations to learn about people's experiences as they interact with products, designs, applications, processes, concepts, or brands in the United States. UK and internationally. The company is headquartered in San Francisco, California.",1557127,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1519845000,None,None,None,1.052,0,0,-1.499,4.356,-0.344,-0.347,-0.147,-0.481,147398000.0,110238000.0,-1.499,0.0,0.446,14,-,-,10.31,10.51,9.58,-,None,15.98,4.5,8.5,8.65,142441000.0,None,None,1210748500.0
Agora Inc,API,Common Stock,"Agora, Inc. provides a Real-Time Interaction Platform as a Service (RTE-PaaS) in the People's Republic of China, the United States, and internationally. The company is headquartered in Shanghai, China.",1802883,NASDAQ,USD,China,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"FL 8 BLDG 12, PHASE III OF KIC, SONGHU ROAD 333, YANGPU DISTRICT, SHANGHAI, CHINA",March,2021-12-31,1167980000,3675800,None,0,7.76,0,0,-0.656,1.524,-0.431,-0.48,-0.0616,-0.095,167982000.0,104007000.0,-0.656,0.0,0.215,26.17,-,416.67,6.95,1.478,3.17,2474.73,None,61.41,6.3,10.48,22.45,115871000.0,None,None,1214328080.0
Myovant Sciences Ltd,MYOV,Common Stock,"Myovant Sciences Ltd., a clinical-stage biopharmaceutical company, focuses on developing and commercializing therapies for women's health and endocrine diseases. The company is headquartered in London, the United Kingdom.",1679082,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,March,2021-12-31,1286497000,-269308992,None,0,0.193,0,0,-2.475,2.149,-1.152,-0.943,-0.169,0.0,198010000.0,-79361000.0,-2.475,0.0,38.48,27,-,-,6.5,70.01,5.99,-,2.731,27.43,11.3,13.07,18.36,93905000.0,None,None,1227338350.0
Cellebrite DI,CLBT,Common Stock,"Cellebrite DI Ltd. provides digital intelligence solutions for the public and private sectors globally. The company is headquartered in Petah Tikva, Israel.",1854587,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"94 SHLOMO SHMELZER ROAD, PETAH TIKVA, IL",December,2021-12-31,1234937000,20829000,14.89,None,0.618,0,0,0.44,1.71,0.29,0.0561,0.0245,1.558,246246000.0,203689000.0,0.44,0.667,0.188,12.13,14.89,-,5.02,-,4.069,47.91,None,13.24,5.07,6.55,8.79,188540000.0,None,None,1234937000.0
Eventbrite Inc,EB,Common Stock,"Eventbrite, Inc. operates a self-service ticketing and experience technology platform serving event creators in the United States and internationally. The company is headquartered in San Francisco, California.",1475115,NYSE,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","155 5TH STREET, 7TH FLOOR, SAN FRANCISCO, CA, US",December,2021-12-31,1456523000,-32990000,None,None,1.747,0,0,-1.475,1.984,-0.743,-0.429,-0.0592,-0.573,187134000.0,116840000.0,-1.475,0.0,1.237,20.5,-,-,7.78,8.64,6.41,-,2.857,24.46,12.6,14.36,17.08,86744000.0,None,None,1245643840.0
AMC Networks Inc,AMCX,Common Stock,"AMC Networks Inc., an entertainment company, owns and operates a suite of video entertainment products that are delivered to the public and a platform to distributors and advertisers in the United States and internationally. The company is headquartered in New York, New York.",1514991,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"11 PENN PLAZA, NEW YORK, NY, US",December,2021-12-31,1746743000,749981000,7.14,1.755,20.08,0,0,5.77,72.65,0.0814,0.213,0.0746,0.261,3077608000.0,1658325000.0,5.77,-0.814,0.03,41.15,7.14,5.58,0.568,2.151,1.288,2.632,0.89,72.8,32.96,40.51,45.31,30891700.0,None,None,1251422767.0
Columbus McKinnon Corporation,CMCO,Common Stock,"Columbus McKinnon Corporation designs, manufactures and markets intelligent motion solutions for ergonomically moving, lifting, positioning and securing materials globally. The company is headquartered in Buffalo, New York.",1005229,NASDAQ,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"205 CROSSPOINT PARKWAY, BUFFALO, NY, UNITED STATES",March,2021-12-31,1199319000,86262000,42.07,0.545,26.17,0.24,0.0067,1,31.2,0.0327,0.0616,0.0229,0.0441,839422000.0,222837000.0,1.0,0.259,0.297,64.44,42.07,12.55,1.429,1.729,2.03,19.52,1.141,55.36,40.96,44.3,46.28,28507700.0,2022-05-16,2022-05-05,1262891110.0
WalkMe Ltd. Ordinary Shares,WKME,Common Stock,"WalkMe Ltd. provides a cloud-based digital adoption platform in the United States and internationally. The company is headquartered in Tel Aviv-Yafo, Israel.",1847584,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1 WALTER MOSES ST., 71 STEVENSON STREET, FLOOR 20, TEL AVIV, IL",December,2021-12-31,1266322000,None,None,None,3.41,0,0,-1.851,3.734,-0.496,-0.402,-0.151,-0.407,193303000.0,146646000.0,-1.851,0.0,0.369,26.88,-,-,6.55,4.457,4.814,-,None,34.42,11.5,15.14,22.6,83862000.0,None,None,1269670680.0
Standex International Corporation,SXI,Common Stock,"Standex International Corporation manufactures and sells various products and services for the commercial and industrial markets in the United States and internationally. The company is headquartered in Salem, New Hampshire.",310354,NYSE,USD,USA,TECHNOLOGY,REFRIGERATION & SERVICE INDUSTRY MACHINERY,"11 KEEWAYDIN DRIVE, SUITE 300, SALEM, NH, US",June,2021-12-31,1257544000,126282000,27.16,1.318,43.49,0.98,0.0101,3.784,58.85,0.0651,0.133,0.0611,0.0921,709982000.0,241261000.0,3.784,0.331,0.188,135.33,27.16,16,1.771,2.428,1.917,13.14,1.179,121.15,85.67,103.86,102.38,12235300.0,2022-02-25,2022-02-10,1270758258.0
Sumo Logic Inc,SUMO,Common Stock,"Sumo Logic, Inc. provides a cloud-native software-as-a-service platform that enables organizations to address the challenges and opportunities presented by digital transformation, modern applications, and cloud computing globally. The company is headquartered in Redwood City, California.",1643269,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"305 MAIN STREET, REDWOOD CITY, CA, US",January,2022-01-31,1361189000,None,None,None,3.681,0,0,-1.135,2.228,-0.509,-0.474,-0.122,-0.29,242125000.0,164047000.0,-1.135,0.0,0.238,15.92,-,-,5.62,3.263,4.474,-,None,23.48,8.86,11.43,15.93,112004000.0,None,None,1280205720.0
NextGen Healthcare Inc,NXGN,Common Stock,"NextGen Healthcare, Inc. provides software and services for ambulatory healthcare services in the United States. The company is headquartered in Atlanta, Georgia.",708818,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"3525 PIEDMONT RD., NE, ATLANTA, GA, UNITED STATES",March,2021-12-31,1443613000,18699000,2159,3.151,6.36,0,0,0.01,8.74,0.0012,0.0129,0.0076,0.0017,589279000.0,318165000.0,0.01,10.03,0.056,21.2,2159,22.08,2.45,3.336,2.279,28.91,1.171,21.72,13.64,19.44,16.92,66865000.0,2016-01-04,2015-12-09,1299855600.0
Desktop Metal Inc,DM,Common Stock,"Desktop Metal, Inc. manufactures and sells additive manufacturing solutions for engineers, designers, and fabricators in the Americas, Europe, the Middle East, Africa, and Asia-Pacific. The company is headquartered in Burlington, Massachusetts.",1754820,NYSE,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","405 LEXINGTON AVENUE, 48TH FLOOR, NEW YORK, NY, US",December,2021-12-31,1481212000,None,None,None,4.011,0,0,-0.922,0.431,-2.138,-1.407,-0.0974,-0.272,112408000.0,20487000.0,-0.922,0.0,5.77,7,-,-,13.18,1.272,11.9,9.09,0.385,15.7,3.25,4.178,6.83,311474000.0,None,None,1301338372.0
ACM Research Inc,ACMR,Common Stock,"ACM Research, Inc. develops, manufactures and sells single wafer wet cleaning equipment to improve the manufacturing process and performance of embedded chips globally. The company is headquartered in Fremont, California.",1680062,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","42307 OSGOOD ROAD, SUITE I, FREMONT, CA, US",December,2021-12-31,1220542000,41055000,36.08,None,11.52,0,0,0.576,4.505,0.145,0.149,0.0347,0.0842,259751000.0,114856000.0,0.576,0.764,1.088,40.25,36.08,39.06,4.699,2.0,3.075,18.23,0.621,39.71,14.07,24.39,29.36,53650000.0,None,None,1308523500.0
Sinclair Broadcast Group Inc,SBGI,Common Stock,"Sinclair Broadcast Group, Inc. is a diversified television media company in the United States. The company is headquartered in Hunt Valley, Maryland.",912752,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"10706 BEAVER DAM ROAD, HUNT VALLEY, MD, US",December,2021-12-31,1959362000,713000000,None,0.887,20.61,0.8,0.0366,-5.52,81.73,-0.0675,0.0073,0.0022,-6.58,6134000000.0,1693000000.0,-5.52,12.6,-0.024,30.6,-,20.49,0.319,0.886,2.244,19.38,1.276,35.15,22.44,27.58,28.2,47891500.0,2022-03-21,2022-03-04,1320847570.0
Alkami Technology Inc,ALKT,Common Stock,"Alkami Technology, Inc. offers a cloud-based digital banking platform to serve banks and credit unions in the United States. The company is headquartered in Plano, Texas.",1529274,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5601 GRANITE PARKWAY, SUITE 120, PLANO, TX, US",December,2021-12-31,1316326000,None,None,None,3.831,0,0,-0.73,2.359,-0.308,-0.262,-0.0728,-0.179,152159000.0,83807000.0,-0.73,0.0,0.273,25.2,-,-,8.65,3.906,6.98,-,None,49.32,12.16,14.68,24.17,90221000.0,None,None,1324444280.0
New Mountain Finance Corporation,NMFC,Common Stock,None,1496099,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,1368062000,None,7.28,0,13.49,1.2,0.0863,1.911,2.795,0.743,0.709,0.0376,0.161,270959000.0,270959000.0,1.911,-0.274,0.001,14.13,7.28,11.25,5.05,1.026,13.13,16.16,1.34,14.03,11.44,13.54,13.5,98351000.0,2020-09-30,2022-03-16,1331672540.0
